"U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.3428,0.016779,0,-0.8009,-0.76715,0,-0.8009,-0.76715,0,-0.78955,1,0.0042,0.12,0.0042,0
2.3433,0.016561,0,-0.80521,-0.77779,0,-0.80521,-0.77779,0,-0.79066,1,0.00425,0.12,0.00425,0
2.3438,0.016343,0,-0.80953,-0.78843,0,-0.80953,-0.78843,0,-0.79177,1,0.0043,0.12,0.0043,0
2.3443,0.016125,0,-0.81384,-0.79907,0,-0.81384,-0.79907,0,-0.79287,1,0.00435,0.12,0.00435,0
2.3447,0.015907,0,-0.81815,-0.8097,0,-0.81815,-0.8097,0,-0.79398,1,0.0044,0.12,0.0044,0
2.3452,0.015689,0,-0.82247,-0.82034,0,-0.82247,-0.82034,0,-0.79508,1,0.00445,0.12,0.00445,0
2.3457,0.015471,0,-0.82678,-0.83098,0,-0.82678,-0.83098,0,-0.79619,1,0.0045,0.12,0.0045,0
2.3462,0.015253,0,-0.83109,-0.84161,0,-0.83109,-0.84161,0,-0.7973,1,0.00455,0.12,0.00455,0
2.3466,0.015035,0,-0.83541,-0.85225,0,-0.83541,-0.85225,0,-0.7984,1,0.0046,0.12,0.0046,0
2.3471,0.014817,0,-0.83972,-0.86289,0,-0.83972,-0.86289,0,-0.79951,1,0.00465,0.12,0.00465,0
2.3476,0.014599,0,-0.84403,-0.87353,0,-0.84403,-0.87353,0,-0.80061,1,0.0047,0.12,0.0047,0
2.348,0.014381,0,-0.84835,-0.88416,0,-0.84835,-0.88416,0,-0.80172,1,0.00475,0.12,0.00475,0
2.3485,0.014163,0,-0.85266,-0.8948,0,-0.85266,-0.8948,0,-0.80283,1,0.0048,0.12,0.0048,0
2.349,0.013945,0,-0.85697,-0.90544,0,-0.85697,-0.90544,0,-0.80393,1,0.00485,0.12,0.00485,0
2.3495,0.013727,0,-0.86129,-0.91607,0,-0.86129,-0.91607,0,-0.80504,1,0.0049,0.12,0.0049,0
