"Points:0","Points:1","Points:2","U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p"
0.055882353,0.0099999998,-0.0015,1.5851175,0.0062000351,0,-0.037400626,0.065869428,0,-0.037400626,0.065869428,0,1.9434125
0.056862745,0.0099999998,-0.0015,1.5863225,0.0058879154,0,-0.041341849,0.072913855,0,-0.041341849,0.072913855,0,1.94156
0.057843138,0.0099999998,-0.0015,1.587465,0.005565485,0,-0.045717575,0.080710128,0,-0.045717575,0.080710128,0,1.9398025
0.05882353,0.0099999998,-0.0015,1.5885475,0.0052300924,0,-0.050562248,0.089335449,0,-0.050562248,0.089335449,0,1.938145
0.059803922,0.0099999998,-0.0015,1.58957,0.0048785652,0,-0.055937573,0.098877475,0,-0.055937573,0.098877475,0,1.9365876
0.060784314,0.0099999998,-0.0015,1.5905275,0.0045069875,0,-0.061892774,0.10942625,0,-0.061892774,0.10942625,0,1.935135
0.061764706,0.0099999998,-0.0015,1.5914176,0.0041108225,0,-0.068494521,0.121084,0,-0.068494521,0.121084,0,1.933795
0.062745102,0.0099999998,-0.0015,1.592235,0.0036845626,0,-0.075829327,0.13395925,0,-0.075829327,0.13395925,0,1.9325725
0.063725494,0.0099999998,-0.0015,1.5929775,0.003222055,0,-0.08395265,0.14815675,0,-0.08395265,0.14815675,0,1.9314725
0.064705886,0.0099999998,-0.0015,1.59364,0.0027159799,0,-0.092955321,0.16381276,0,-0.092955321,0.16381276,0,1.9305124
0.065686278,0.0099999998,-0.0015,1.5942149,0.00215864,0,-0.10288742,0.181107,0,-0.10288742,0.181107,0,1.9297
0.06666667,0.0099999998,-0.0015,1.59469,0.0015404749,0,-0.11384337,0.20039275,0,-0.11384337,0.20039275,0,1.929045
0.067647062,0.0099999998,-0.0015,1.5950575,0.00084895152,0,-0.12592751,0.221983,0,-0.12592751,0.221983,0,1.928575
0.068627454,0.0099999998,-0.0015,1.5953076,7.0629991e-05,0,-0.13917275,0.24595425,0,-0.13917275,0.24595425,0,1.92831
0.069607846,0.0099999998,-0.0015,1.59542,-0.00081076648,0,-0.15367675,0.27194801,0,-0.15367675,0.27194801,0,1.9282675
0.070588239,0.0099999998,-0.0015,1.5953825,-0.0018142575,0,-0.16986024,0.30035126,0,-0.16986024,0.30035126,0,1.9284775
0.071568631,0.0099999998,-0.0015,1.5951775,-0.0029615676,0,-0.187958,0.33206874,0,-0.187958,0.33206874,0,1.928975
0.072549023,0.0099999998,-0.0015,1.59478,-0.0042785201,0,-0.20793626,0.36729926,0,-0.20793626,0.36729926,0,1.9297925
0.073529415,0.0099999998,-0.0015,1.5941625,-0.0057960078,0,-0.22996974,0.40625352,0,-0.22996974,0.40625352,0,1.9309676
0.074509807,0.0099999998,-0.0015,1.5932925,-0.0075509725,0,-0.25433651,0.4492895,0,-0.25433651,0.4492895,0,1.932555
0.075490199,0.0099999998,-0.0015,1.592135,-0.0095877228,0,-0.28133249,0.49682799,0,-0.28133249,0.49682799,0,1.934615
0.076470591,0.0099999998,-0.0015,1.5906525,-0.01195962,0,-0.311281,0.54935199,0,-0.311281,0.54935199,0,1.9372075
0.077450983,0.0099999998,-0.0015,1.5887975,-0.0147311,0,-0.34454826,0.6074115,0,-0.34454826,0.6074115,0,1.9404049
0.078431375,0.0099999998,-0.0015,1.5865099,-0.0179803,0,-0.38154477,0.67163002,0,-0.38154477,0.67163002,0,1.9442949
0.079411767,0.0099999998,-0.0015,1.5837225,-0.0218025,0,-0.42273277,0.74271202,0,-0.42273277,0.74271202,0,1.9489725
0.08039216,0.0099999998,-0.0015,1.5803626,-0.026314676,0,-0.46862227,0.82145548,0,-0.46862227,0.82145548,0,1.9545475
0.081372552,0.0099999998,-0.0015,1.57634,-0.031661052,0,-0.51973802,0.908764,0,-0.51973802,0.908764,0,1.9611425
0.082352944,0.0099999998,-0.0015,1.5715525,-0.0380201,0,-0.5766415,1.0056245,0,-0.5766415,1.0056245,0,1.968895
